anchor,positive,negative,anchor,positive,negative,anchor,positive,negative,anchor,positive,negative,anchor,positive,negative
51158,42138,37731,Experimental,Experimental,Rock,9648,8267,7572,11461,9957,453,"[224, 38]","[514, 38]","[58, 12]"
135054,96898,48493,Experimental,Experimental,International,20261,15721,9291,20635,17735,11103,[38],"[38, 32, 22]","[2, 118]"
17644,44794,63733,Experimental,Experimental,Hip-Hop,3988,8698,11236,4747,10352,7473,"[32, 38]","[360, 38, 6]",[21]
11234,60074,17496,Experimental,Experimental,Hip-Hop,2756,11023,3935,2240,12904,4750,"[32, 1, 38]","[32, 38, 247]","[100, 21]"
38911,35198,153337,Experimental,Experimental,Hip-Hop,7762,7237,22712,9279,7413,24202,"[38, 125, 30]","[1, 125, 38]","[539, 21]"
24218,85494,39666,Experimental,Experimental,Pop,5320,14424,7887,6234,9557,9409,"[514, 38]","[32, 38]","[10, 76]"
44782,43063,70773,Experimental,Experimental,Hip-Hop,8696,8435,12560,3644,5147,14476,"[360, 38, 6]","[32, 38]","[21, 542]"
28241,57442,139995,Experimental,Experimental,Electronic,6095,10578,21068,5804,3195,21345,"[224, 38]",[38],"[337, 182, 15]"
110630,42126,122395,Experimental,Experimental,Rock,17126,8265,18530,19092,9954,20481,"[456, 38]","[38, 6]","[404, 12, 85]"
139638,114976,99707,Experimental,Experimental,Electronic,21002,17721,16096,6077,12287,18063,"[456, 247, 38, 47]","[32, 38]","[296, 181, 15]"
995,47194,126297,Experimental,Experimental,Rock,255,9034,19088,177,7050,20985,"[32, 38]",[38],"[26, 12, 66, 359]"
57943,72926,138039,Experimental,Experimental,Pop,10701,12935,20746,6554,14561,22220,"[38, 6, 1193, 16, 763]","[456, 1, 38, 47]",[10]
38911,7375,19425,Experimental,Experimental,Pop,7762,1685,4412,9279,10,5203,"[38, 125, 30]","[38, 22]",[10]
115125,43608,75396,Experimental,Experimental,Hip-Hop,17678,8557,13248,19535,3426,12271,"[41, 38]",[38],"[539, 21]"
47200,122168,99345,Experimental,Experimental,Rock,9034,18507,16048,7050,15939,16689,[38],"[1, 125, 38]","[66, 12, 31]"
119579,27454,91088,Experimental,Experimental,Electronic,18261,5939,15087,1911,281,17022,"[38, 22]","[38, 47]","[184, 337, 15]"
110629,79977,65745,Experimental,Experimental,Hip-Hop,17126,14621,11836,19092,15760,13729,"[456, 38]","[38, 30]",[21]
116464,119026,125815,Experimental,Experimental,Instrumental,17929,18223,19029,19382,1818,19461,"[125, 38]","[224, 38]","[18, 1235]"
116586,1735,144587,Experimental,Experimental,Pop,17914,449,21306,9289,288,22090,"[1, 125, 38]",[38],"[10, 76]"
74393,69791,122087,Experimental,Experimental,Rock,13141,12400,18501,12565,14307,13262,"[16, 38, 763, 6]","[41, 38]","[66, 12, 85]"
118972,132434,136707,Experimental,Experimental,Rock,18212,19950,20532,19268,21697,22091,"[32, 38]","[32, 125, 38]","[404, 27, 12, 85]"
86576,92574,100497,Experimental,Experimental,Electronic,14583,15314,15889,242,17238,10484,"[32, 38, 47]","[224, 514, 38, 247]","[240, 297, 15]"
91894,64856,109896,Experimental,Experimental,Folk,15197,11703,17031,5994,13391,19031,"[41, 38]","[38, 247]","[17, 103]"
122004,141972,152569,Experimental,Experimental,Instrumental,18495,21318,22647,20391,22591,24088,"[41, 38]",[38],"[267, 1235]"
118502,127541,53725,Experimental,Experimental,International,18153,19285,7686,20019,21106,9162,[38],"[224, 38]","[2, 524, 117, 130]"
104434,1073,131787,Experimental,Experimental,Instrumental,16381,290,19855,15508,10,19685,[38],"[38, 22]","[267, 1235]"
109548,139687,137356,Experimental,Experimental,Rock,16947,21011,20629,10071,22381,22152,"[1, 38, 41]","[38, 47]","[361, 12, 109, 439, 25, 31]"
74387,91130,15773,Experimental,Experimental,Electronic,13141,15094,3613,10458,14281,4365,"[16, 38, 763, 6]","[1, 250, 38, 41]","[297, 15]"
44169,124517,43024,Experimental,Experimental,International,8653,18820,8426,10267,19918,10060,"[32, 250, 38]",[38],"[2, 172]"
135091,28571,715,Experimental,Experimental,Folk,20283,6149,203,21941,3171,143,"[38, 47]","[250, 38]",[17]
30702,101868,110649,Experimental,Experimental,Instrumental,6467,16189,17131,7561,17238,19096,"[1, 247, 38, 41]","[32, 41, 514, 38]",[1235]
133770,108059,68444,Experimental,Experimental,Electronic,18212,16814,12240,19268,3171,14104,"[32, 38]","[250, 38]",[15]
122001,24217,113934,Experimental,Experimental,Pop,18495,5320,17549,20389,6234,19448,"[41, 38]","[514, 38]",[10]
69785,105720,70206,Experimental,Experimental,Hip-Hop,12400,16512,12474,14307,18574,14363,"[41, 38]","[32, 38, 47]","[539, 21]"
122168,148082,16163,Experimental,Experimental,Pop,18507,22078,3710,15939,23532,4455,"[1, 125, 38]","[32, 38, 47]",[10]
44851,91899,140134,Experimental,Experimental,Electronic,8708,15197,21088,10369,5994,22429,"[38, 30, 456]","[41, 38]","[181, 15]"
124870,47193,36560,Experimental,Experimental,Pop,18866,9034,7451,20820,7050,8728,[38],[38],"[10, 76, 362]"
57273,65090,72289,Experimental,Experimental,Rock,10565,11746,12838,12158,13573,14695,"[456, 514, 38]","[38, 30]","[25, 12, 111]"
34003,122201,26638,Experimental,Experimental,Rock,7077,18512,5793,3530,20445,6742,"[1, 250, 38]","[1, 38]","[404, 58, 12, 85]"
24901,112215,10699,Experimental,Experimental,Hip-Hop,5463,17326,2645,3307,19260,2631,"[38, 30]","[38, 47]",[21]
74393,116517,75784,Experimental,Experimental,Rock,13141,17936,13290,12565,19815,15310,"[16, 38, 763, 6]",[38],[12]
9505,6679,76071,Experimental,Experimental,International,2279,1883,13312,2240,1771,15393,"[32, 1, 38]","[32, 38]","[2, 130]"
145043,149777,105411,Experimental,Experimental,Electronic,21645,22342,16469,11234,23714,15990,"[32, 250, 38]",[38],"[337, 15, 695, 183]"
126226,58060,43519,Experimental,Experimental,International,19072,10717,8534,20977,9974,10174,"[38, 47]","[32, 1, 38]","[130, 2, 741]"
64594,1929,24363,Experimental,Experimental,International,11647,3190,5338,13466,314,6251,"[32, 38, 456]","[1, 38]","[2, 46]"
148,74390,38365,Experimental,Experimental,International,66,13141,7691,57,15124,9169,"[1, 38]","[16, 38, 763, 6]","[2, 79]"
37121,18124,6439,Experimental,Experimental,Hip-Hop,7503,4158,1996,3246,4995,706,[38],[38],[21]
127422,35008,85489,Experimental,Experimental,Folk,19266,7223,14422,21093,7561,9765,"[1, 38, 247]","[1, 38, 247, 186, 30]","[17, 103]"
146989,35198,72782,Experimental,Experimental,Hip-Hop,21918,7237,12921,19918,7413,3593,"[250, 38]","[1, 125, 38]",[21]
24515,42146,79741,Experimental,Experimental,Pop,5377,8267,13689,235,9957,15717,"[41, 186, 38]","[514, 38]","[10, 76]"
145043,127155,84202,Experimental,Experimental,Electronic,21645,19217,14215,11234,13517,2008,"[32, 250, 38]","[32, 38]","[184, 42, 15]"
64078,42141,142080,Experimental,Experimental,Electronic,11561,8267,21330,13417,9957,21394,"[38, 47]","[514, 38]","[337, 468, 15]"
38879,72927,7526,Experimental,Experimental,Pop,7762,12935,2097,9279,14561,1939,"[38, 125, 30]","[456, 1, 38, 47]",[10]
38884,56031,45154,Experimental,Experimental,Electronic,7762,10370,8768,9279,12220,10424,"[38, 125, 30]","[38, 47]","[491, 468, 15]"
48861,23329,35184,Experimental,Experimental,Pop,9335,5096,7235,10154,6080,3222,"[456, 250, 38]","[32, 38, 41, 47, 250]","[10, 362]"
38912,29750,144424,Experimental,Experimental,Electronic,7762,6350,21578,9279,7407,22981,"[38, 125, 30]","[38, 360, 6]","[181, 15]"
41714,47202,134929,Experimental,Experimental,International,8215,9034,20263,9820,7050,19607,"[224, 38]",[38],"[1032, 2, 102]"
38911,148,135219,Experimental,Experimental,International,7762,66,20300,9279,57,21947,"[38, 125, 30]","[1, 38]","[1032, 2, 102]"
127484,51111,142668,Experimental,Experimental,Hip-Hop,19274,9641,21430,21100,1977,22688,"[41, 186, 38]","[1, 38]","[811, 83, 100, 21]"
128880,46717,142549,Experimental,Experimental,Pop,19435,8971,21402,19472,10698,22682,"[38, 6, 1193, 16, 763]",[38],[10]
8357,38450,108497,Experimental,Experimental,Hip-Hop,2176,7708,16872,2,9180,18877,"[1, 38, 22]","[32, 38]","[539, 21]"
146070,24915,141300,Experimental,Experimental,Instrumental,21832,5463,21242,23258,3307,22551,"[32, 38]","[38, 30]","[107, 18, 1235]"
110209,89991,3765,Experimental,Experimental,Rock,17072,14971,636,12351,16956,921,"[456, 38]","[32, 38, 47]","[26, 12]"
132434,126521,31356,Experimental,Experimental,Folk,19950,19119,6566,21697,21015,6641,"[32, 125, 38]","[1, 125, 38]","[33, 17, 94]"
33477,101873,93076,Experimental,Experimental,Folk,6988,16189,15355,8269,17238,17285,"[38, 47]","[32, 41, 514, 38]","[17, 103]"
60074,42146,148214,Experimental,Experimental,Folk,11023,8267,22097,12904,9957,22428,"[32, 38, 247]","[514, 38]","[33, 17, 103]"
69791,112198,122645,Experimental,Experimental,Instrumental,12400,17321,18567,14307,19259,20108,"[41, 38]","[224, 186, 514, 38]","[18, 1235]"
118504,40122,79575,Experimental,Experimental,Rock,18153,7959,13662,20001,281,15694,[38],"[38, 47]","[25, 12, 85, 111]"
127469,122204,106342,Experimental,Experimental,Folk,19273,18512,16572,16239,20445,18649,"[1, 38]","[1, 38]","[17, 103]"
133916,49407,87104,Experimental,Experimental,Instrumental,19406,2758,14647,21851,2240,16682,"[32, 38]","[32, 1, 38]","[18, 1235]"
7393,120171,10458,Experimental,Experimental,Folk,1685,18322,2584,10,19591,2492,"[38, 22]","[16, 38, 763, 6]",[17]
126506,74376,68842,Experimental,Experimental,Folk,19119,13141,12285,21005,12564,14026,"[1, 125, 38]","[16, 38, 763, 6]",[17]
119025,48042,4101,Experimental,Experimental,International,18223,9223,1678,1818,668,1140,"[224, 38]","[125, 38]","[2, 117, 118, 130]"
82242,125333,14579,Experimental,Experimental,Instrumental,13977,18956,3371,9680,19219,129,"[38, 30, 247]","[32, 41, 250, 38]","[18, 1235]"
118504,10377,24424,Experimental,Experimental,Hip-Hop,18153,2545,5347,20001,2491,6274,[38],"[32, 224, 38]",[21]
116586,30090,147020,Experimental,Experimental,Hip-Hop,17914,6398,21925,9289,7487,16031,"[1, 125, 38]","[1, 38, 41]",[21]
39900,101893,32333,Experimental,Experimental,Pop,7923,16189,6743,9264,17238,7949,"[32, 1, 38]","[1, 514, 38, 247]",[10]
119580,139862,75752,Experimental,Experimental,Hip-Hop,18261,21045,13285,1911,22395,12271,"[38, 22]",[38],"[539, 21]"
86576,122153,63043,Experimental,Experimental,Rock,14583,18507,11430,242,8466,7916,"[32, 38, 47]","[1, 125, 38]","[89, 66, 12, 25]"
119097,17573,95725,Experimental,Experimental,Instrumental,18229,3964,15602,1767,4779,6074,[38],"[38, 47]",[1235]
24963,7375,147413,Experimental,Experimental,Rock,5469,1685,21982,129,10,19740,"[224, 38]","[38, 22]","[25, 12, 111]"
116116,44797,121866,Experimental,Experimental,Rock,17877,8698,18484,19755,1874,20359,"[32, 38]","[360, 38, 6]","[25, 12, 85, 111]"
86081,77517,24749,Experimental,Experimental,International,14510,13456,5414,14783,14774,6564,"[456, 38]","[224, 1, 38]","[130, 2, 524]"
145058,110610,59657,Experimental,Experimental,International,21649,17123,10953,23113,16162,12839,"[32, 125, 38]","[32, 38, 47]","[2, 118]"
149777,42146,31568,Experimental,Experimental,Electronic,22342,8267,6611,23714,9957,7797,[38],"[514, 38]","[182, 15]"
90027,91900,10485,Experimental,Experimental,Folk,14975,15197,2587,16958,5994,77,"[250, 38]","[41, 38]",[17]
132436,120171,54438,Experimental,Experimental,International,19950,18322,10186,21699,19591,11987,"[32, 125, 38]","[16, 38, 763, 6]","[2, 79]"
145043,47202,133803,Experimental,Experimental,Folk,21645,9034,20099,11234,7050,11346,"[32, 250, 38]",[38],"[17, 103]"
112584,79977,146019,Experimental,Experimental,Instrumental,17369,14621,21824,19258,15760,23246,"[38, 6, 1193, 16, 763]","[38, 30]","[18, 1235]"
68543,24901,4022,Experimental,Experimental,Rock,12256,5463,904,14126,3307,1072,"[38, 30]","[38, 30]","[25, 12, 109]"
118505,46711,144944,Experimental,Experimental,Pop,18154,8969,21626,20007,10696,23102,[38],[38],[10]
38887,9678,119893,Experimental,Experimental,Instrumental,7762,2389,18298,9279,2268,19461,"[38, 125, 30]","[125, 38]","[18, 1235]"
69303,45934,18038,Experimental,Experimental,International,12340,8874,4129,12704,10497,4967,"[41, 38, 47]","[1, 38, 41]","[2, 92]"
29272,101868,120183,Experimental,Experimental,Pop,6267,16189,18324,129,17238,2007,"[224, 514, 38]","[32, 41, 514, 38]","[10, 76]"
112788,110610,107125,Experimental,Experimental,Electronic,17387,17123,16686,19268,16162,18732,"[32, 38]","[32, 38, 47]","[468, 286, 15]"
131624,135089,130682,Experimental,Experimental,Rock,18212,20283,19679,19268,21941,19741,"[32, 38]","[38, 47]","[25, 12]"
38882,121985,123096,Experimental,Experimental,Folk,7762,18495,18627,9279,20377,20585,"[38, 125, 30]","[41, 38]","[17, 103]"
120161,38892,67367,Experimental,Experimental,Pop,18322,7762,12066,20197,9279,11615,"[16, 38, 763, 6]","[38, 125, 30]","[10, 76]"
126507,51114,4073,Experimental,Experimental,International,19119,9641,2216,16340,1977,1134,"[1, 125, 38]","[1, 38]","[2, 46]"
128845,7374,44949,Experimental,Experimental,International,19432,1685,8728,9289,10,10385,"[1, 125, 38]","[38, 22]","[808, 2, 46]"
122204,95189,149138,Experimental,Experimental,Hip-Hop,18512,15540,22221,20445,13882,11979,"[1, 38]","[41, 38]",[21]
139876,51479,50952,Experimental,Experimental,Folk,21048,9687,9616,22381,10457,11431,"[38, 47]","[32, 250, 38]",[17]
129620,122004,127186,Experimental,Experimental,Pop,19531,18495,19225,21360,20391,15469,"[32, 38, 47]","[41, 38]",[10]
149842,124518,131554,Experimental,Experimental,Rock,22348,18820,19818,23711,19918,21464,"[41, 38]",[38],"[12, 109, 439, 25, 31]"
43608,118484,58221,Experimental,Experimental,Rock,8557,18152,10750,3426,20000,12620,[38],[38],[12]
74385,57629,113270,Experimental,Experimental,International,13141,10608,17457,3656,6234,19368,"[16, 38, 763, 6]","[41, 514, 38]",[2]
7383,9846,142084,Experimental,Experimental,Hip-Hop,1685,2423,18166,10,2308,19803,"[38, 22]","[32, 1, 38]",[21]
110684,8357,59454,Experimental,Experimental,Pop,17141,2176,10915,16239,2,9454,"[224, 38, 47]","[1, 38, 22]","[10, 76, 362]"
131410,114976,16822,Experimental,Experimental,Rock,19792,17721,3823,10184,12287,4632,"[32, 38, 47]","[32, 38]","[404, 12, 85]"
139663,15471,138211,Experimental,Experimental,Rock,18212,3548,20770,19268,4271,22229,"[32, 38]","[38, 22]","[66, 359, 12, 113, 26]"
44791,118222,126018,Experimental,Experimental,Instrumental,8698,17678,19042,10350,19535,19461,"[360, 38, 6]","[41, 38]","[18, 1235]"
82886,122959,70206,Experimental,Experimental,Hip-Hop,14057,18608,12474,16066,18141,14363,"[224, 38]","[1, 38]","[539, 21]"
131410,119095,128471,Experimental,Experimental,Instrumental,19792,18229,19384,10184,1767,19461,"[32, 38, 47]",[38],"[18, 1235]"
126227,44803,121734,Experimental,Experimental,Pop,19072,8698,18467,20977,10358,20335,"[38, 47]","[360, 38, 6]",[10]
29739,74371,40541,Experimental,Experimental,Hip-Hop,6350,13141,8034,7398,15115,5934,"[38, 360, 6]","[16, 38, 763, 6]","[100, 21]"
70002,74375,104276,Experimental,Experimental,Electronic,12448,13141,16363,14349,15119,18289,"[250, 38]","[16, 38, 763, 6]","[297, 468, 15]"
46718,128799,63065,Experimental,Experimental,Electronic,8971,19425,11432,10698,9294,13326,[38],"[1, 38, 41]","[468, 15]"
38879,38892,139777,Experimental,Experimental,Instrumental,7762,7762,21032,9279,9279,22389,"[38, 125, 30]","[38, 125, 30]","[18, 1235]"
35007,35199,33446,Experimental,Experimental,Folk,7223,7237,6817,8516,7413,5300,"[1, 38, 247, 186, 30]","[1, 125, 38]",[17]
115591,51203,30519,Experimental,Experimental,Electronic,17678,9652,6444,19535,11463,7550,"[41, 38]","[224, 38]","[240, 297, 296, 15]"
88485,9678,136404,Experimental,Experimental,Rock,14824,2389,20488,16842,2268,22051,"[1, 250, 38]","[125, 38]","[25, 12, 31]"
29750,10377,73551,Experimental,Experimental,Hip-Hop,6350,2545,13022,7407,2491,14456,"[38, 360, 6]","[32, 224, 38]",[21]
53729,74387,40230,Experimental,Experimental,Folk,10039,13141,7979,11887,10458,77,"[1, 250, 38]","[16, 38, 763, 6]",[17]
118084,38912,55240,Experimental,Experimental,International,17678,7762,10291,19535,9279,9169,"[41, 38]","[38, 125, 30]","[2, 79]"
29747,63161,21999,Experimental,Experimental,Pop,6350,11446,4869,7409,10,5828,"[38, 360, 6]","[38, 22]","[10, 76]"
74302,56031,130931,Experimental,Experimental,Instrumental,13123,10370,19716,14774,12220,19461,"[224, 38]","[38, 47]","[18, 1235]"
29738,102114,148215,Experimental,Experimental,Folk,6350,16213,22097,7405,18244,22428,"[38, 360, 6]","[38, 32, 22]","[33, 17, 103]"
59930,120171,57177,Experimental,Experimental,Folk,11001,18322,10535,12878,19591,12386,"[456, 38]","[16, 38, 763, 6]","[17, 94]"
59930,44848,64365,Experimental,Experimental,Pop,11001,8708,11595,12878,10369,13451,"[456, 38]","[38, 30, 456]",[10]
137484,29744,90590,Experimental,Experimental,Pop,20650,6350,15015,10530,7402,7444,"[41, 38, 247]","[38, 360, 6]","[10, 76]"
136928,68872,129092,Experimental,Experimental,Rock,20559,12289,19471,21345,13452,1860,"[32, 38, 47]","[32, 38]","[404, 12, 85]"
104434,92885,143046,Experimental,Experimental,Electronic,16381,15336,21463,15508,14774,22774,[38],"[224, 1, 38]","[184, 42, 236, 15]"
79975,35462,85692,Experimental,Experimental,Folk,14621,7310,14447,15760,8014,5104,"[38, 30]","[32, 1, 38]","[17, 33]"
110230,84136,43598,Experimental,Experimental,International,17073,14199,8555,17790,16270,10188,"[32, 38, 47]","[224, 38]","[130, 2, 524, 741]"
56015,44797,75607,Experimental,Experimental,Instrumental,10366,8698,13270,12216,1874,7125,"[32, 250, 38]","[360, 38, 6]","[107, 1235]"
7381,119583,48462,Experimental,Experimental,Electronic,1685,18261,9284,10,1911,9573,"[38, 22]","[38, 22]","[297, 42, 15, 240, 400, 182]"
64247,15476,91933,Experimental,Experimental,Folk,11583,3548,15205,13445,4271,10979,"[1, 38]","[38, 22]",[17]
122132,69682,111873,Experimental,Experimental,Instrumental,18507,12376,17272,20421,14294,19192,"[1, 125, 38]",[38],"[107, 1235]"
122004,110623,6610,Experimental,Experimental,Hip-Hop,18495,17126,2011,20391,19092,1882,"[41, 38]","[456, 38]",[21]
42119,122143,126886,Experimental,Experimental,Instrumental,8265,18507,19180,9954,18067,19461,"[38, 6]","[1, 125, 38]","[18, 1235]"
41714,42966,35443,Experimental,Experimental,Folk,8215,8395,7307,9820,10034,8610,"[224, 38]","[32, 38]","[17, 103]"
64862,15476,26022,Experimental,Experimental,Hip-Hop,11703,3548,4918,13391,4271,4454,"[38, 247]","[38, 22]",[21]
44798,89991,80293,Experimental,Experimental,Hip-Hop,8698,14971,13756,10354,16956,1,"[360, 38, 6]","[32, 38, 47]",[21]
44347,46068,56247,Experimental,Experimental,Pop,8672,8878,10410,7595,10570,12253,"[1, 38, 41]","[1, 38, 41]","[10, 76]"
64248,52860,116099,Experimental,Experimental,Instrumental,11583,9892,17873,13445,4779,19461,"[1, 38]","[456, 38, 47]","[18, 1235]"
64248,44354,124482,Experimental,Experimental,Pop,11583,8672,18815,13445,10312,6337,"[1, 38]","[1, 38, 41]","[10, 76]"
92565,37041,115811,Experimental,Experimental,Electronic,15314,7499,17806,17238,8809,19696,"[224, 514, 38, 247]","[32, 38]","[240, 297, 15]"
149777,38901,81037,Experimental,Experimental,Folk,22342,7762,13855,23714,9279,15255,[38],"[38, 125, 30]","[17, 94]"
110204,120779,68444,Experimental,Experimental,Electronic,17072,18374,12240,12351,19948,14104,"[456, 38]","[1, 38, 41]",[15]
24975,115591,142080,Experimental,Experimental,Electronic,5469,17678,21330,129,19535,21394,"[224, 38]","[41, 38]","[337, 468, 15]"
115817,8363,59078,Experimental,Experimental,Rock,17678,2176,10847,19535,2,8088,"[41, 38]","[1, 38, 22]","[66, 27, 12]"
79973,15475,59683,Experimental,Experimental,International,14621,3548,10957,15761,4271,12855,"[38, 30]","[38, 22]","[232, 2, 118]"
74392,84057,126646,Experimental,Experimental,Instrumental,13141,14189,19142,15129,16248,18673,"[16, 38, 763, 6]","[224, 514, 38]",[1235]
104625,82881,143097,Experimental,Experimental,Rock,16406,14057,21467,18433,16066,12802,"[247, 38, 47]","[224, 38]","[25, 12, 85, 404]"
38859,139688,47628,Experimental,Experimental,Folk,7760,21011,9130,7561,22381,10900,"[1, 38, 41, 247, 30]","[38, 47]","[33, 17]"
54554,145043,145257,Experimental,Experimental,Rock,10204,21645,21687,12003,11234,23152,"[38, 30, 47]","[32, 250, 38]","[64, 66, 12, 88, 25]"
115850,38965,10386,Experimental,Experimental,Folk,17811,7770,2547,19259,9291,77,"[224, 186, 514, 38]","[250, 38]",[17]
122004,58053,136449,Experimental,Experimental,Hip-Hop,18495,10715,20499,20391,9974,22055,"[41, 38]","[32, 1, 38]",[21]
88485,112668,133449,Experimental,Experimental,Instrumental,14824,17373,20057,16842,19268,21803,"[1, 250, 38]","[32, 38]","[18, 1235]"
68538,116372,127916,Experimental,Experimental,Folk,12256,17913,19325,14124,16194,21125,"[38, 30]","[1, 38, 30]","[17, 103]"
49072,38911,62448,Experimental,Experimental,Pop,2279,7762,11372,2240,9279,13262,"[32, 1, 38]","[38, 125, 30]",[10]
69001,37041,148608,Experimental,Experimental,Pop,14622,7499,22158,14186,8809,23605,"[38, 30]","[32, 38]",[10]
1673,129622,64591,Experimental,Experimental,International,427,19531,11646,272,21361,13489,"[38, 30]","[32, 38, 47]","[808, 2, 46]"
92873,97374,141562,Experimental,Experimental,Hip-Hop,15336,15778,21277,14774,7473,22568,"[224, 1, 38]",[38],"[100, 21]"
57627,115849,10458,Experimental,Experimental,Folk,10608,17811,2584,6234,19259,2492,"[41, 514, 38]","[224, 186, 514, 38]",[17]
145074,69787,131021,Experimental,Experimental,Hip-Hop,21654,12400,19733,23116,14307,21503,"[32, 250, 38]","[41, 38]",[21]
1069,13578,127159,Experimental,Experimental,Electronic,290,3196,19218,10,1783,21063,"[38, 22]","[1, 38]","[181, 15]"
97813,115591,29816,Experimental,Experimental,Electronic,15836,17678,6364,17879,19535,354,"[32, 250, 38, 456]","[41, 38]",[15]
12737,119134,99096,Experimental,Experimental,Hip-Hop,3058,18230,16020,3426,1767,16031,[38],[38],[21]
133770,126508,108303,Experimental,Experimental,Folk,18212,19119,16843,19268,21006,18841,"[32, 38]","[1, 125, 38]",[17]
44354,127798,81082,Experimental,Experimental,Folk,8672,19307,13865,10312,19268,15865,"[1, 38, 41]","[32, 38]","[33, 17]"
43691,37538,56695,Experimental,Experimental,International,8572,7540,10471,10191,8995,12294,[38],"[224, 38]","[2, 79]"
127878,133332,69762,Experimental,Experimental,Folk,19317,20046,12385,7661,7617,10469,"[456, 38]","[1, 38, 41, 247, 30]",[17]
47202,42119,60145,Experimental,Experimental,International,9034,8265,11030,7050,9954,12911,[38],"[38, 6]","[2, 118]"
2096,57626,61814,Experimental,Experimental,Rock,536,10608,11234,150,6234,3966,[38],"[41, 514, 38]","[98, 361, 12, 109, 25]"
30690,10535,111221,Experimental,Experimental,Instrumental,6467,2609,17195,7587,2580,15547,"[1, 247, 38, 41]","[125, 38]","[107, 18, 1235]"
117961,24217,129051,Experimental,Experimental,Pop,18105,5320,19465,19916,6234,21268,"[1, 38]","[514, 38]","[10, 76]"
108314,38882,111871,Experimental,Experimental,Instrumental,16845,7762,17272,9500,9279,17984,[38],"[38, 125, 30]","[107, 1235]"
65090,11239,111871,Experimental,Experimental,Instrumental,11746,2759,17272,13573,2240,17984,"[38, 30]","[32, 1, 38]","[107, 1235]"
98229,39484,33459,Experimental,Experimental,Rock,15896,7800,6983,3007,2474,8266,"[514, 38]","[32, 1, 38]","[66, 12]"
997,116525,95722,Experimental,Experimental,Instrumental,255,17936,15602,177,19815,6074,"[32, 38]",[38],[1235]
38881,74347,84264,Experimental,Experimental,Electronic,7762,7991,14230,9279,9472,14023,"[38, 125, 30]","[1, 38]","[337, 236, 15]"
83960,15471,24430,Experimental,Experimental,Hip-Hop,14171,3548,5347,16234,4271,6274,"[32, 38]","[38, 22]",[21]
118084,122004,99095,Experimental,Experimental,Hip-Hop,17678,18495,16020,19535,20391,16031,"[41, 38]","[41, 38]",[21]
15476,112215,718,Experimental,Experimental,Folk,3548,17326,203,4271,19260,143,"[38, 22]","[38, 47]",[17]
44342,79975,8261,Experimental,Experimental,Folk,8672,14621,2162,7587,15760,698,"[1, 38, 41]","[38, 30]",[17]
79087,121987,69567,Experimental,Experimental,Folk,13607,18495,12354,15606,20379,14278,"[1, 38]","[41, 38]","[49, 17]"
137484,119545,133024,Experimental,Experimental,Electronic,20650,18256,20018,10530,1813,20146,"[41, 38, 247]","[32, 38]","[42, 468, 15]"
105722,144810,78984,Experimental,Experimental,Hip-Hop,16512,18582,13604,18574,15891,9224,"[32, 38, 47]","[514, 38]",[21]
74376,57271,76075,Experimental,Experimental,International,13141,10565,13312,12564,12158,15393,"[16, 38, 763, 6]","[456, 514, 38]","[2, 130]"
91897,119578,73318,Experimental,Experimental,Rock,15197,18261,12975,5994,1911,14850,"[41, 38]","[38, 22]","[25, 12]"
132424,64855,141296,Experimental,Experimental,Instrumental,19950,11703,21242,21688,13391,22551,"[32, 125, 38]","[38, 247]","[107, 18, 1235]"
117991,116383,84158,Experimental,Experimental,Folk,18106,17914,14208,17524,9289,16276,"[1, 38]","[1, 125, 38]","[17, 103]"
51158,118987,111386,Experimental,Experimental,Pop,9648,18218,17220,11461,20114,16362,"[224, 38]","[224, 38]","[10, 76]"
144487,29742,146150,Experimental,Experimental,Hip-Hop,21585,6350,21837,22994,7401,23260,"[1, 38]","[38, 360, 6]",[21]
84417,110205,87097,Experimental,Experimental,Instrumental,14260,17072,14647,10567,12351,16682,"[1, 186, 38]","[456, 38]","[18, 1235]"
43883,68875,148113,Experimental,Experimental,Instrumental,8611,12289,22086,10234,13452,23539,"[32, 38]","[32, 38]","[18, 1235]"
69785,69787,93521,Experimental,Experimental,Electronic,12400,12400,15399,14307,14307,17332,"[41, 38]","[41, 38]","[468, 15]"
48269,74378,142087,Experimental,Experimental,Hip-Hop,9253,13141,18166,7414,15120,19803,"[32, 224, 38]","[16, 38, 763, 6]",[21]
74383,9721,146687,Experimental,Experimental,Hip-Hop,13141,2413,21896,5847,2240,23348,"[16, 38, 763, 6]","[32, 1, 38]",[21]
125333,126603,94803,Experimental,Experimental,Electronic,18956,19133,15521,19219,16066,3766,"[32, 41, 250, 38]","[224, 38]","[240, 297, 15]"
68549,122143,65064,Experimental,Experimental,Electronic,12256,18507,11737,14130,18067,9573,"[38, 30]","[1, 125, 38]","[240, 297, 15]"
116116,1673,98680,Experimental,Experimental,International,17877,427,15968,19755,272,6345,"[32, 38]","[38, 30]","[2, 118]"
34994,41054,117884,Experimental,Experimental,Rock,7223,8127,18093,8506,9636,19909,"[1, 38, 247, 186, 30]","[32, 186, 38, 47]","[25, 66, 12, 111]"
44792,110629,31042,Experimental,Experimental,Electronic,8698,17126,6518,10351,19092,7688,"[360, 38, 6]","[456, 38]",[15]
86081,44798,123825,Experimental,Experimental,Rock,14510,8698,18734,14783,10354,20691,"[456, 38]","[360, 38, 6]","[88, 12]"
